Date,close,year,month,dom,day_name,month_name,dow,eom,days_to_eom,wom,returns,cum_returns
2012-09-10,1429.08,2012,9,10,Monday,September,0,2012-09-30,-20.0,2,,
2012-09-11,1433.56,2012,9,11,Tuesday,September,1,2012-09-30,-19.0,2,0.0031299804777846774,0.0031299804777846774
2012-09-12,1436.56,2012,9,12,Wednesday,September,2,2012-09-30,-18.0,2,0.0020905056879527706,0.005220486165737448
2012-09-13,1459.99,2012,9,13,Thursday,September,3,2012-09-30,-17.0,2,0.016178219630214485,0.021398705795951933
2012-09-14,1465.77,2012,9,14,Friday,September,4,2012-09-30,-16.0,2,0.0039511152790705495,0.025349821075022483
2012-09-17,1461.19,2012,9,17,Monday,September,0,2012-09-30,-13.0,3,-0.0031295294353350656,0.022220291639687417
2012-09-18,1459.32,2012,9,18,Tuesday,September,1,2012-09-30,-12.0,3,-0.00128059842668371,0.020939693213003707
2012-09-19,1461.05,2012,9,19,Wednesday,September,2,2012-09-30,-11.0,3,0.0011847815190320077,0.022124474732035715
2012-09-20,1460.26,2012,9,20,Thursday,September,3,2012-09-30,-10.0,3,-0.000540853260528884,0.02158362147150683
2012-09-21,1460.15,2012,9,21,Friday,September,4,2012-09-30,-9.0,3,-7.533188836639226e-05,0.02150828958314044
2012-09-24,1456.89,2012,9,24,Monday,September,0,2012-09-30,-6.0,4,-0.002235143403731321,0.019273146179409117
2012-09-25,1441.59,2012,9,25,Tuesday,September,1,2012-09-30,-5.0,4,-0.010557355654258416,0.008715790525150702
2012-09-26,1433.32,2012,9,26,Wednesday,September,2,2012-09-30,-4.0,4,-0.00575323944835926,0.002962551076791442
2012-09-27,1447.15,2012,9,27,Thursday,September,3,2012-09-30,-3.0,4,0.00960267336469478,0.012565224441486222
2012-09-28,1440.67,2012,9,28,Friday,September,4,2012-09-30,-2.0,4,-0.004487821869708419,0.008077402571777803
2012-10-01,1444.49,2012,10,1,Monday,October,0,2012-10-31,-30.0,1,0.0026480349319832897,0.010725437503761093
2012-10-02,1445.75,2012,10,2,Tuesday,October,1,2012-10-31,-29.0,1,0.0008718999666621485,0.011597337470423241
2012-10-03,1450.99,2012,10,3,Wednesday,October,2,2012-10-31,-28.0,1,0.0036178640233517356,0.015215201493774977
2012-10-04,1461.4,2012,10,4,Thursday,October,3,2012-10-31,-27.0,1,0.007148798295437686,0.022363999789212663
2012-10-05,1460.93,2012,10,5,Friday,October,4,2012-10-31,-26.0,1,-0.00032166114302789595,0.022042338646184767
2012-10-08,1455.88,2012,10,8,Monday,October,0,2012-10-31,-23.0,2,-0.003462690436391469,0.018579648209793298
2012-10-09,1441.48,2012,10,9,Tuesday,October,1,2012-10-31,-22.0,2,-0.009940165231842713,0.008639482977950586
2012-10-10,1432.56,2012,10,10,Wednesday,October,2,2012-10-31,-21.0,2,-0.0062073100173511975,0.002432172960599388
2012-10-11,1432.84,2012,10,11,Thursday,October,3,2012-10-31,-20.0,2,0.00019543519291609357,0.0026276081535154816
2012-10-12,1428.59,2012,10,12,Friday,October,4,2012-10-31,-19.0,2,-0.00297054488505033,-0.0003429367315348486
2012-10-15,1440.13,2012,10,15,Monday,October,0,2012-10-31,-16.0,3,0.008045443436660804,0.0077025067051259555
2012-10-16,1454.92,2012,10,16,Tuesday,October,1,2012-10-31,-15.0,3,0.010217529003082149,0.017920035708208104
2012-10-17,1460.91,2012,10,17,Wednesday,October,2,2012-10-31,-14.0,3,0.004108612934417444,0.022028648642625548
2012-10-18,1457.34,2012,10,18,Thursday,October,3,2012-10-31,-13.0,3,-0.002446673027257873,0.019581975615367675
2012-10-19,1433.19,2012,10,19,Friday,October,4,2012-10-31,-12.0,3,-0.016710127170061817,0.002871848445305858
2012-10-22,1433.82,2012,10,22,Monday,October,0,2012-10-31,-9.0,4,0.0004394822551301303,0.003311330700435988
2012-10-23,1413.11,2012,10,23,Tuesday,October,1,2012-10-31,-8.0,4,-0.014549262064668333,-0.011237931364232345
2012-10-24,1408.75,2012,10,24,Wednesday,October,2,2012-10-31,-7.0,4,-0.0030901628496859956,-0.014328094213918341
2012-10-25,1412.97,2012,10,25,Thursday,October,3,2012-10-31,-6.0,4,0.002991085682645611,-0.01133700853127273
2012-10-26,1411.94,2012,10,26,Friday,October,4,2012-10-31,-5.0,4,-0.0007292268041414474,-0.012066235335414177
2012-10-31,1412.16,2012,10,31,Wednesday,October,2,2012-10-31,0.0,5,0.00015580184869179448,-0.011910433486722383
2012-11-01,1427.59,2012,11,1,Thursday,November,3,2012-11-30,-29.0,1,0.0108672607470508,-0.0010431727396715829
2012-11-02,1414.2,2012,11,2,Friday,November,4,2012-11-30,-28.0,1,-0.009423707658092972,-0.010466880397764555
2012-11-05,1417.26,2012,11,5,Monday,November,0,2012-11-30,-25.0,1,0.002161429927531877,-0.008305450470232678
2012-11-06,1428.39,2012,11,6,Tuesday,November,1,2012-11-30,-24.0,1,0.00782250575801502,-0.0004829447122176589
2012-11-07,1394.53,2012,11,7,Wednesday,November,2,2012-11-30,-23.0,1,-0.023990494932418116,-0.024473439644635775
2012-11-08,1377.51,2012,11,8,Thursday,November,3,2012-11-30,-22.0,2,-0.012279919394418748,-0.03675335903905452
2012-11-09,1379.85,2012,11,9,Friday,November,4,2012-11-30,-21.0,2,0.0016972760624254235,-0.0350560829766291
2012-11-12,1380.03,2012,11,12,Monday,November,0,2012-11-30,-18.0,2,0.0001304404541180304,-0.03492564252251107
2012-11-13,1374.53,2012,11,13,Tuesday,November,1,2012-11-30,-17.0,2,-0.003993383559691033,-0.0389190260822021
2012-11-14,1355.49,2012,11,14,Wednesday,November,2,2012-11-30,-16.0,2,-0.013948841925725652,-0.052867868007927754
2012-11-15,1353.33,2012,11,15,Thursday,November,3,2012-11-30,-15.0,3,-0.0015947906895288355,-0.05446265869745659
2012-11-16,1359.88,2012,11,16,Friday,November,4,2012-11-30,-14.0,3,0.00482823867256954,-0.04963442002488705
2012-11-19,1386.89,2012,11,19,Monday,November,0,2012-11-30,-11.0,3,0.019667369768091802,-0.029967050256795247
2012-11-20,1387.81,2012,11,20,Tuesday,November,1,2012-11-30,-10.0,3,0.000663134777607155,-0.029303915479188092
2012-11-21,1391.03,2012,11,21,Wednesday,November,2,2012-11-30,-9.0,3,0.0023175148199863216,-0.02698640065920177
2012-11-23,1409.15,2012,11,23,Friday,November,4,2012-11-30,-7.0,4,0.012942205804868046,-0.014044194854333725
2012-11-26,1406.29,2012,11,26,Monday,November,0,2012-11-30,-4.0,4,-0.002031654720931364,-0.01607584957526509
2012-11-27,1398.94,2012,11,27,Tuesday,November,1,2012-11-30,-3.0,4,-0.005240224023848938,-0.021316073599114027
2012-11-28,1409.93,2012,11,28,Wednesday,November,2,2012-11-30,-2.0,4,0.007825250780979509,-0.013490822818134518
2012-11-29,1415.95,2012,11,29,Thursday,November,3,2012-11-30,-1.0,5,0.004260626145993207,-0.009230196672141311
2012-11-30,1416.18,2012,11,30,Friday,November,4,2012-11-30,0.0,5,0.00016242192307913683,-0.009067774749062174
2012-12-03,1409.46,2012,12,3,Monday,December,0,2012-12-31,-28.0,1,-0.004756453525113891,-0.013824228274176065
2012-12-04,1407.05,2012,12,4,Tuesday,December,1,2012-12-31,-27.0,1,-0.001711338208048474,-0.015535566482224539
2012-12-05,1409.28,2012,12,5,Wednesday,December,2,2012-12-31,-26.0,1,0.0015836215685256505,-0.013951944913698888
2012-12-06,1413.94,2012,12,6,Thursday,December,3,2012-12-31,-25.0,1,0.003301198087305224,-0.010650746826393664
2012-12-07,1418.07,2012,12,7,Friday,December,4,2012-12-31,-24.0,1,0.002916658435379027,-0.007734088391014637
2012-12-10,1418.55,2012,12,10,Monday,December,0,2012-12-31,-21.0,2,0.0003384309527412199,-0.0073956574382734175
2012-12-11,1427.84,2012,12,11,Tuesday,December,1,2012-12-31,-20.0,2,0.0065275896744818596,-0.0008680677637915579
2012-12-12,1428.48,2012,12,12,Wednesday,December,2,2012-12-31,-19.0,2,0.00044812906866908975,-0.0004199386951224682
2012-12-13,1419.45,2012,12,13,Thursday,December,3,2012-12-31,-18.0,2,-0.006341469250430443,-0.006761407945552911
2012-12-14,1413.58,2012,12,14,Friday,December,4,2012-12-31,-17.0,2,-0.004143978990863495,-0.010905386936416406
2012-12-17,1430.36,2012,12,17,Monday,December,0,2012-12-31,-14.0,3,0.011800667190938974,0.000895280254522568
2012-12-18,1446.79,2012,12,18,Tuesday,December,1,2012-12-31,-13.0,3,0.011421148426265404,0.012316428680787972
2012-12-19,1435.81,2012,12,19,Wednesday,December,2,2012-12-31,-12.0,3,-0.0076181593722406404,0.0046982693085473315
2012-12-20,1443.69,2012,12,20,Thursday,December,3,2012-12-31,-11.0,3,0.005473186088517323,0.010171455397064655
2012-12-21,1430.15,2012,12,21,Friday,December,4,2012-12-31,-10.0,3,-0.009423002107228129,0.0007484532898365259
2012-12-24,1426.66,2012,12,24,Monday,December,0,2012-12-31,-7.0,4,-0.0024432858581224792,-0.0016948325682859533
2012-12-26,1419.83,2012,12,26,Wednesday,December,2,2012-12-31,-5.0,4,-0.004798901880980644,-0.006493734449266597
2012-12-27,1418.1,2012,12,27,Thursday,December,3,2012-12-31,-4.0,4,-0.001219198651337905,-0.007712933100604502
2012-12-28,1402.43,2012,12,28,Friday,December,4,2012-12-31,-3.0,4,-0.011111501189478012,-0.018824434290082515
2012-12-31,1426.19,2012,12,31,Monday,December,0,2012-12-31,0.0,5,0.016800106652477886,-0.002024327637604628
2013-01-02,1462.42,2013,1,2,Wednesday,January,2,2013-01-31,-29.0,1,0.02508604482486465,0.023061717187260022
2013-01-03,1459.37,2013,1,3,Thursday,January,3,2013-01-31,-28.0,1,-0.00208776202796912,0.020973955159290902
2013-01-04,1466.47,2013,1,4,Friday,January,4,2013-01-31,-27.0,1,0.0048533166109665515,0.025827271770257454
2013-01-07,1461.89,2013,1,7,Monday,January,0,2013-01-31,-24.0,1,-0.003128033257148388,0.022699238513109066
2013-01-08,1457.15,2013,1,8,Tuesday,January,1,2013-01-31,-23.0,2,-0.0032476459151951076,0.019451592597913958
2013-01-09,1461.02,2013,1,9,Wednesday,January,2,2013-01-31,-22.0,2,0.002652348745119326,0.022103941343033284
2013-01-10,1472.12,2013,1,10,Thursday,January,3,2013-01-31,-21.0,2,0.007568716794297714,0.029672658137331
2013-01-11,1472.05,2013,1,11,Friday,January,4,2013-01-31,-20.0,2,-4.755160198843811e-05,0.02962510653534256
2013-01-14,1470.68,2013,1,14,Monday,January,0,2013-01-31,-17.0,2,-0.0009311082559246842,0.028693998279417876
2013-01-15,1472.34,2013,1,15,Tuesday,January,1,2013-01-31,-16.0,3,0.0011280930309967019,0.029822091310414578
2013-01-16,1472.63,2013,1,16,Wednesday,January,2,2013-01-31,-15.0,3,0.00019694597971309236,0.03001903729012767
2013-01-17,1480.94,2013,1,17,Thursday,January,3,2013-01-31,-14.0,3,0.005627103422306767,0.03564614071243444
2013-01-18,1485.98,2013,1,18,Friday,January,4,2013-01-31,-13.0,3,0.0033974659565911836,0.03904360666902562
2013-01-22,1492.56,2013,1,22,Tuesday,January,1,2013-01-31,-9.0,4,0.004418279226813482,0.0434618858958391
2013-01-23,1494.81,2013,1,23,Wednesday,January,2,2013-01-31,-8.0,4,0.0015063419833829528,0.044968227879222056
2013-01-24,1494.82,2013,1,24,Thursday,January,3,2013-01-31,-7.0,4,6.689791044678373e-06,0.044974917670266734
2013-01-25,1502.96,2013,1,25,Friday,January,4,2013-01-31,-6.0,4,0.005430698720871874,0.05040561639113861
2013-01-28,1500.18,2013,1,28,Monday,January,0,2013-01-31,-3.0,4,-0.001851396068166089,0.04855422032297252
2013-01-29,1507.84,2013,1,29,Tuesday,January,1,2013-01-31,-2.0,5,0.005093062252180758,0.05364728257515328
2013-01-30,1501.96,2013,1,30,Wednesday,January,2,2013-01-31,-1.0,5,-0.00390724133204845,0.04974004124310483
2013-01-31,1498.11,2013,1,31,Thursday,January,3,2013-01-31,0.0,5,-0.0025666081881308145,0.04717343305497401
2013-02-01,1513.17,2013,2,1,Friday,February,4,2013-02-28,-27.0,1,0.010002474404177342,0.057175907459151354
2013-02-04,1495.71,2013,2,4,Monday,February,0,2013-02-28,-24.0,1,-0.011605777551404906,0.04557012990774645
2013-02-05,1511.29,2013,2,5,Tuesday,February,1,2013-02-28,-23.0,1,0.01036258025857606,0.05593271016632251
2013-02-06,1512.12,2013,2,6,Wednesday,February,2,2013-02-28,-22.0,1,0.0005490489353752182,0.056481759101697726
2013-02-07,1509.39,2013,2,7,Thursday,February,3,2013-02-28,-21.0,1,-0.0018070439898467683,0.05467471511185096
2013-02-08,1517.93,2013,2,8,Friday,February,4,2013-02-28,-20.0,2,0.00564196890558577,0.06031668401743673
2013-02-11,1517.01,2013,2,11,Monday,February,0,2013-02-28,-17.0,2,-0.0006062723007245197,0.05971041171671221
2013-02-12,1519.43,2013,2,12,Tuesday,February,1,2013-02-28,-16.0,2,0.0015939722256224087,0.06130438394233462
2013-02-13,1520.33,2013,2,13,Wednesday,February,2,2013-02-28,-15.0,2,0.0005921520293039606,0.06189653597163858
2013-02-14,1521.38,2013,2,14,Thursday,February,3,2013-02-28,-14.0,2,0.0006904011504760277,0.0625869371221146
2013-02-15,1519.79,2013,2,15,Friday,February,4,2013-02-28,-13.0,3,-0.0010456502891154074,0.0615412868329992
2013-02-19,1530.94,2013,2,19,Tuesday,February,1,2013-02-28,-9.0,3,0.007309758416981005,0.0688510452499802
2013-02-20,1511.95,2013,2,20,Wednesday,February,2,2013-02-28,-8.0,3,-0.012481717408259208,0.056369327841720995
2013-02-21,1502.42,2013,2,21,Thursday,February,3,2013-02-28,-7.0,3,-0.006323067010153061,0.050046260831567935
2013-02-22,1515.6,2013,2,22,Friday,February,4,2013-02-28,-6.0,4,0.008734258744973467,0.0587805195765414
2013-02-25,1487.85,2013,2,25,Monday,February,0,2013-02-28,-3.0,4,-0.01847927528433324,0.04030124429220816
2013-02-26,1496.94,2013,2,26,Tuesday,February,1,2013-02-28,-2.0,4,0.006090899595963428,0.04639214388817159
2013-02-27,1515.99,2013,2,27,Wednesday,February,2,2013-02-28,-1.0,4,0.012645666418416468,0.05903781030658806
2013-02-28,1514.68,2013,2,28,Thursday,February,3,2013-02-28,0.0,4,-0.0008644953634577845,0.05817331494313027
2013-03-01,1518.2,2013,3,1,Friday,March,4,2013-03-31,-30.0,1,0.0023212270716328476,0.06049454201476312
2013-03-04,1525.2,2013,3,4,Monday,March,0,2013-03-31,-27.0,1,0.004600126400741367,0.06509466841550449
2013-03-05,1539.79,2013,3,5,Tuesday,March,1,2013-03-31,-26.0,1,0.009520494489535736,0.07461516290504022
2013-03-06,1541.46,2013,3,6,Wednesday,March,2,2013-03-31,-25.0,1,0.0010839757653693383,0.07569913867040956
2013-03-07,1544.26,2013,3,7,Thursday,March,3,2013-03-31,-24.0,1,0.0018148119521494976,0.07751395062255906
2013-03-08,1551.18,2013,3,8,Friday,March,4,2013-03-31,-23.0,2,0.004471100410919249,0.0819850510334783
2013-03-11,1556.22,2013,3,11,Monday,March,0,2013-03-31,-20.0,2,0.0032438723173955353,0.08522892335087384
2013-03-12,1552.48,2013,3,12,Tuesday,March,1,2013-03-31,-19.0,2,-0.002406151641789478,0.08282277170908436
2013-03-13,1554.52,2013,3,13,Wednesday,March,2,2013-03-31,-18.0,2,0.0013131640123260624,0.08413593572141043
2013-03-14,1563.23,2013,3,14,Thursday,March,3,2013-03-31,-17.0,2,0.00558737721730207,0.0897233129387125
2013-03-15,1560.7,2013,3,15,Friday,March,4,2013-03-31,-16.0,3,-0.0016197549581091764,0.08810355798060332
2013-03-18,1552.1,2013,3,18,Monday,March,0,2013-03-31,-13.0,3,-0.005525585891368756,0.08257797208923456
2013-03-19,1548.34,2013,3,19,Tuesday,March,1,2013-03-31,-12.0,3,-0.0024254633815203874,0.08015250870771418
2013-03-20,1558.71,2013,3,20,Wednesday,March,2,2013-03-31,-11.0,3,0.006675166801552557,0.08682767550926673
2013-03-21,1545.8,2013,3,21,Thursday,March,3,2013-03-31,-10.0,3,-0.008316980404400987,0.07851069510486575
2013-03-22,1556.89,2013,3,22,Friday,March,4,2013-03-31,-9.0,4,0.007148665982127156,0.0856593610869929
2013-03-25,1551.69,2013,3,25,Monday,March,0,2013-03-31,-6.0,4,-0.0033455821309180678,0.08231377895607483
2013-03-26,1563.77,2013,3,26,Tuesday,March,1,2013-03-31,-5.0,4,0.007754912943538805,0.09006869189961364
2013-03-27,1562.85,2013,3,27,Wednesday,March,2,2013-03-31,-4.0,4,-0.0005884949412156004,0.08948019695839804
2013-03-28,1569.19,2013,3,28,Thursday,March,3,2013-03-31,-3.0,4,0.004048485114815037,0.09352868207321308
2013-04-01,1562.17,2013,4,1,Monday,April,0,2013-04-30,-29.0,1,-0.004483682336421602,0.08904499973679147
2013-04-02,1570.25,2013,4,2,Tuesday,April,1,2013-04-30,-28.0,1,0.005158962029794267,0.09420396176658574
2013-04-03,1553.69,2013,4,3,Wednesday,April,2,2013-04-30,-27.0,1,-0.010602095506201614,0.08360186626038413
2013-04-04,1559.98,2013,4,4,Thursday,April,3,2013-04-30,-26.0,1,0.004040253820289941,0.08764212008067407
2013-04-05,1553.28,2013,4,5,Friday,April,4,2013-04-30,-25.0,1,-0.004304176550396832,0.08333794353027724
2013-04-08,1563.07,2013,4,8,Monday,April,0,2013-04-30,-22.0,2,0.006283011989032694,0.08962095551930993
2013-04-09,1568.61,2013,4,9,Tuesday,April,1,2013-04-30,-21.0,2,0.003538040782594898,0.09315899630190483
2013-04-10,1587.73,2013,4,10,Wednesday,April,2,2013-04-30,-20.0,2,0.012115446292433774,0.1052744425943386
2013-04-11,1593.37,2013,4,11,Thursday,April,3,2013-04-30,-19.0,2,0.0035459469426655232,0.10882038953700413
2013-04-12,1588.85,2013,4,12,Friday,April,4,2013-04-30,-18.0,2,-0.002840786017135777,0.10597960351986835
2013-04-15,1552.36,2013,4,15,Monday,April,0,2013-04-30,-15.0,3,-0.023234130479997006,0.08274547303987134
2013-04-16,1574.57,2013,4,16,Tuesday,April,1,2013-04-30,-14.0,3,0.0142058655033237,0.09695133854319504
2013-04-17,1552.01,2013,4,17,Wednesday,April,2,2013-04-30,-13.0,3,-0.014431354089724735,0.08251998445347031
2013-04-18,1541.61,2013,4,18,Thursday,April,3,2013-04-30,-12.0,3,-0.006723540175261888,0.07579644427820842
2013-04-19,1555.25,2013,4,19,Friday,April,4,2013-04-30,-11.0,3,0.008808979549016271,0.08460542382722469
2013-04-22,1562.5,2013,4,22,Monday,April,0,2013-04-30,-8.0,4,0.00465079821542691,0.0892562220426516
2013-04-23,1578.78,2013,4,23,Tuesday,April,1,2013-04-30,-7.0,4,0.010365294248898316,0.09962151629154992
2013-04-24,1578.79,2013,4,24,Wednesday,April,2,2013-04-30,-6.0,4,6.333984678086324e-06,0.099627850276228
2013-04-25,1585.16,2013,4,25,Thursday,April,3,2013-04-30,-5.0,4,0.004026617744745664,0.10365446802097367
2013-04-26,1582.24,2013,4,26,Friday,April,4,2013-04-30,-4.0,4,-0.0018437840671978734,0.1018106839537758
2013-04-29,1593.61,2013,4,29,Monday,April,0,2013-04-30,-1.0,5,0.00716031838936626,0.10897100234314205
2013-04-30,1597.57,2013,4,30,Tuesday,April,1,2013-04-30,0.0,5,0.002481841846996069,0.11145284419013812
2013-05-01,1582.7,2013,5,1,Wednesday,May,2,2013-05-31,-30.0,1,-0.009351475418805322,0.1021013687713328
2013-05-02,1597.59,2013,5,2,Thursday,May,3,2013-05-31,-29.0,1,0.00936399435369406,0.11146536312502686
2013-05-03,1614.42,2013,5,3,Friday,May,4,2013-05-31,-28.0,1,0.010479515333145173,0.12194487845817203
2013-05-06,1617.5,2013,5,6,Monday,May,0,2013-05-31,-25.0,1,0.0019059883489793705,0.1238508668071514
2013-05-07,1625.96,2013,5,7,Tuesday,May,1,2013-05-31,-24.0,1,0.005216663184106629,0.12906752999125803
2013-05-08,1632.69,2013,5,8,Wednesday,May,2,2013-05-31,-23.0,2,0.004130550730288007,0.13319808072154604
2013-05-09,1626.67,2013,5,9,Thursday,May,3,2013-05-31,-22.0,2,-0.0036939809321392403,0.1295040997894068
2013-05-10,1633.7,2013,5,10,Friday,May,4,2013-05-31,-21.0,2,0.004312400675151373,0.13381650046455817
2013-05-13,1633.77,2013,5,13,Monday,May,0,2013-05-31,-18.0,2,4.2846606095992e-05,0.13385934707065417
2013-05-14,1650.34,2013,5,14,Tuesday,May,1,2013-05-31,-17.0,2,0.010091099634557565,0.14395044670521173
2013-05-15,1658.78,2013,5,15,Wednesday,May,2,2013-05-31,-16.0,3,0.005101065117815828,0.14905151182302756
2013-05-16,1650.47,2013,5,16,Thursday,May,3,2013-05-31,-15.0,3,-0.005022296573084617,0.14402921524994294
2013-05-17,1667.47,2013,5,17,Friday,May,4,2013-05-31,-14.0,3,0.010247411805593742,0.15427662705553669
2013-05-20,1666.29,2013,5,20,Monday,May,0,2013-05-31,-11.0,3,-0.0007079094171622557,0.15356871763837443
2013-05-21,1669.16,2013,5,21,Tuesday,May,1,2013-05-31,-10.0,3,0.0017209076486217612,0.1552896252869962
2013-05-22,1655.35,2013,5,22,Wednesday,May,2,2013-05-31,-9.0,4,-0.008308039040019644,0.14698158624697655
2013-05-23,1650.51,2013,5,23,Thursday,May,3,2013-05-31,-8.0,4,-0.0029281357699177946,0.14405345047705875
2013-05-24,1649.6,2013,5,24,Friday,May,4,2013-05-31,-7.0,4,-0.0005514967822684014,0.14350195369479035
2013-05-28,1660.06,2013,5,28,Tuesday,May,1,2013-05-31,-3.0,4,0.006320912013007884,0.14982286570779824
2013-05-29,1648.36,2013,5,29,Wednesday,May,2,2013-05-31,-2.0,5,-0.007072892060328684,0.14274997364746955
2013-05-30,1654.41,2013,5,30,Thursday,May,3,2013-05-31,-1.0,5,0.003663595567895861,0.1464135692153654
2013-05-31,1630.74,2013,5,31,Friday,May,4,2013-05-31,0.0,5,-0.014410550273651346,0.13200301894171407
2013-06-03,1640.42,2013,6,3,Monday,June,0,2013-06-30,-27.0,1,0.005918407082218025,0.1379214260239321
2013-06-04,1631.38,2013,6,4,Tuesday,June,1,2013-06-30,-26.0,1,-0.005526024209600244,0.13239540181433185
2013-06-05,1608.9,2013,6,5,Wednesday,June,2,2013-06-30,-25.0,1,-0.013875566725246813,0.11851983508908503
