"","ID","name","prefix","r","g","b","alp","First.Year","Last.Year","hex","rgb","h","s","v"
"1",1082,"Clikits Pink","rgba","254","120","176","1",2006,2006,"#FE78B0","254,120,176",0.930348258706468,0.52755905511811,0.996078431372549
"2",75,"Speckle Black-Copper","rgba","5","19","29","1",2006,2006,"#05131D","5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
"3",62,"Chrome Green","rgba","60","179","113","1",1999,1999,"#3CB371","60,179,113",0.407563025210084,0.664804469273743,0.701960784313725
"4",1078,"Duplo Medium Green","rgba","70","138","95","1",2003,2003,"#468A5F","70,138,95",0.394607843137255,0.492753623188406,0.541176470588235
"5",1009,"Vintage Green","rgba","30","96","30","1",1949,1949,"#1E601E","30,96,30",0.333333333333333,0.6875,0.376470588235294
"6",76,"Speckle DBGray-Silver","rgba","108","110","104","1",2006,2006,"#6C6E68","108,110,104",0.222222222222222,0.0545454545454546,0.431372549019608
"7",1031,"Modulex Olive Green","rgba","124","144","81","1",1963,1963,"#7C9051","124,144,81",0.21957671957672,0.4375,0.564705882352941
"8",81,"Metallic Green","rgba","137","155","95","1",2001,2001,"#899B5F","137,155,95",0.216666666666667,0.387096774193548,0.607843137254902
"9",1076,"Duplo Lime","rgba","255","242","48","1",1992,1992,"#FFF230","255,242,48",0.156199677938808,0.811764705882353,1
"10",1011,"Vintage Yellow","rgba","243","195","5","1",1949,1949,"#F3C305","243,195,5",0.133053221288515,0.979423868312757,0.952941176470588
"11",1080,"Light Tan","rgba","243","201","136","1",2006,2006,"#F3C988","243,201,136",0.101246105919003,0.440329218106996,0.952941176470588
"12",1052,"Glitter Trans-Orange","rgba","240","143","28","1",2020,2020,"#F08F1C","240,143,28",0.0904088050314465,0.883333333333333,0.941176470588235
"13",1012,"Fabuland Orange","rgba","239","145","33","1",1983,1983,"#EF9121","239,145,33",0.0906148867313916,0.861924686192469,0.937254901960784
"14",1085,"Two-tone Silver","rgba","115","114","113","1",2002,2002,"#737271","115,114,113",0.0833333333333339,0.0173913043478261,0.450980392156863
"15",1084,"Two-tone Gold","rgba","171","103","58","1",2002,2002,"#AB673A","171,103,58",0.0663716814159292,0.660818713450292,0.670588235294118
"16",1081,"Rust Orange","rgba","135","43","23","1",2004,2004,"#872B17","135,43,23",0.0297619047619048,0.82962962962963,0.529411764705882
"17",1010,"Vintage Red","rgba","202","31","8","1",1949,1949,"#CA1F08","202,31,8",0.0197594501718213,0.96039603960396,0.792156862745098
"18",1083,"Two-tone Copper","rgba","148","81","72","1",2001,2001,"#945148","148,81,72",0.0197368421052631,0.513513513513514,0.580392156862745
"19",320,"Dark Red","rgba","114","14","15","1",1961,2023,"#720E0F","114,14,15",0.998333333333333,0.87719298245614,0.447058823529412
"20",100,"Light Salmon","rgba","254","186","189","1",1997,1999,"#FEBABD","254,186,189",0.992647058823529,0.267716535433071,0.996078431372549
"21",77,"Light Pink","rgba","254","204","207","1",1994,2007,"#FECCCF","254,204,207",0.99,0.196850393700787,0.996078431372549
"22",1087,"Duplo Pink","rgba","255","135","156","1",1992,1993,"#FF879C","255,135,156",0.970833333333333,0.470588235294118,1
"23",1069,"Pearl Red","rgba","214","0","38","1",2003,2006,"#D60026","214,0,38",0.970404984423676,1,0.83921568627451
"24",13,"Pink","rgba","252","151","172","1",1991,2006,"#FC97AC","252,151,172",0.965346534653465,0.400793650793651,0.988235294117647
"25",1050,"Coral","rgba","255","105","143","1",2019,2023,"#FF698F","255,105,143",0.957777777777778,0.588235294117647,1
"26",351,"Medium Dark Pink","rgba","247","133","177","1",1994,2005,"#F785B1","247,133,177",0.935672514619883,0.461538461538462,0.968627450980392
"27",114,"Glitter Trans-Dark Pink","rgba","223","102","149","1",1999,2022,"#DF6695","223,102,149",0.935261707988981,0.542600896860987,0.874509803921569
"28",45,"Trans-Dark Pink","rgba","223","102","149","1",1998,2023,"#DF6695","223,102,149",0.935261707988981,0.542600896860987,0.874509803921569
