ID,name,rgb,First Year,Last Year
1082,Clikits Pink,FE78B0,2006,2006
75,Speckle Black-Copper,05131D,2006,2006
62,Chrome Green,3CB371,1999,1999
1078,Duplo Medium Green,468A5F,2003,2003
1009,Vintage Green,1E601E,1949,1949
76,Speckle DBGray-Silver,6C6E68,2006,2006
1031,Modulex Olive Green,7C9051,1963,1963
81,Metallic Green,899B5F,2001,2001
1076,Duplo Lime,FFF230,1992,1992
1011,Vintage Yellow,F3C305,1949,1949
1080,Light Tan,F3C988,2006,2006
1052,Glitter Trans-Orange,F08F1C,2020,2020
1012,Fabuland Orange,EF9121,1983,1983
1085,Two-tone Silver,737271,2002,2002
1084,Two-tone Gold,AB673A,2002,2002
1081,Rust Orange,872B17,2004,2004
1010,Vintage Red,CA1F08,1949,1949
1083,Two-tone Copper,945148,2001,2001
320,Dark Red,720E0F,1961,2023
100,Light Salmon,FEBABD,1997,1999
77,Light Pink,FECCCF,1994,2007
1087,Duplo Pink,FF879C,1992,1993
1069,Pearl Red,D60026,2003,2006
13,Pink,FC97AC,1991,2006
1050,Coral,FF698F,2019,2023
351,Medium Dark Pink,F785B1,1994,2005
114,Glitter Trans-Dark Pink,DF6695,1999,2022
45,Trans-Dark Pink,DF6695,1998,2023
69,Light Purple,CD6298,2003,2007
29,Bright Pink,E4ADC8,2003,2023
230,Trans-Pink,E4ADC8,2000,2006
5,Dark Pink,C870A0,2003,2023
1054,Trans-Medium Reddish Violet Opal,CE1D9B,2020,2022
26,Magenta,923978,2000,2023
63,Chrome Pink,AA4D8E,2001,2018
22,Purple,81007B,1996,2005
373,Sand Purple,845E84,2001,2003
1007,Reddish Lilac,8E5597,2004,2005
236,Trans-Light Purple,96709F,2000,2006
30,Medium Lavender,AC78BA,2011,2023
1059,Trans-Purple Opal,8320B7,2020,2023
31,Lavender,E1D5ED,2011,2023
85,Dark Purple,3F3691,2000,2023
1001,Medium Violet,9391E4,2000,2005
52,Trans-Purple,A5A5CB,2000,2023
129,Glitter Trans-Purple,A5A5CB,2000,2022
20,Light Violet,C9CAE2,1994,2005
23,Dark Blue-Violet,2032B0,2004,2006
112,Medium Bluish Violet,6874CA,1999,2004
